Recipe,Cucumber Carrot Salad,,,,,,,,
Ingredients,,,,,,,,,
,Tamarind Water,4,tbsp,,,,,,
,Salt,To Taste,,,,,,,
,,,,,,,,,
Steps to Prepare,,,,,,,,,
1,"Rinse and wash the black chana well. Soak in enough water overnight. Next morning pressure cook for about 6-7 whistles on medium heat, until they are tender. They shouldn't be mushy.",,,,,,,,
2,"Heat oil add ajwain seeds, Once they splutter, add besan (if there are too many lumps in the besan, sift and use ) and sauté another 30 secs on medium-low heat or until the besan turns brown in color.",,,,,,,,
3,Make a paste of 1/2 cup boiled chana by adding water and add it to the tadaka,,,,,,,,
4,Add in the rest of the chana and mix well.,,,,,,,,
5,"Add red chilli, turmeric, cumin-coriander powders, jaggery and tamarind water. Mix it well and sauté for another minute.",,,,,,,,
6,"Add 1 & 1/2 cups of water, mix it well and let it cook for 8-10 minutes until the curry thickens, stirring occasionally. Adjust the consistency as per your requirement. The curry has a tendency to thicken when it gets cold.",,,,,,,,
7,You can add some water and reheat it to adjust the consistency.,,,,,,,,
,,,,,,,,,
Recipe,Gujarati Dal,,,,,,,,
Ingredients,,,,,,,,,
,Toor dal,1.5,cup,,,,,,
,Sunflower oil,3,tbsp,,,,,,
,Jeera,2,tsp,,,,,,
,Hing,0.5,tsp,,,,,,
,Methi seeds,1,tsp,,,,,,
,Mustard seeds,2,tsp,,,,,,
,Turmeric powder,1.5,tsp,,,,,,
,Red chilly powder,1,tsp,,,,,,
,Red Chillies,2,g,,,,,,
,Cinnamon,1,g,,,,,,
,Cloves,1,g,,,,,,
,Coriander powder,1,tbsp,,,,,,
,Jeera powder,1,tbsp,,,,,,
,Garam masala,1,tsp,,,,,,
,Achaar masala,1,tsp,,,,,,
,Tomatoes,150,g,,,,,,
,Cilantro,0.25,bunches,,,,,,
,Tamarind,5,g,,,,,,
,Green chillies,3,g,,,,,,
,Ginger,25,g,,,,,,
,Curry leaves,0.25,packets,,,,,,
,Jaggery,0.5,tsp,,,,,,
,,,,,,,,,
,,,,,,,,,
Steps to Prepare,,,,,,,,,
1,Wash Toor dal and soak for 1-2 hours,,,,,,,,
2,Pressure Cook dal with turmeric and a little salt (1:3 water ratio) and then whisk it into a paste and keep it aside.,,,,,,,,
3,"Heat oil – add mustard seeds, cumin seeds,  cloves, cinnamon, methi seeds, dried red chillies, hing",,,,,,,,
4,"Add curry leaves, ginger paste, green chilli paste and saute well",,,,,,,,
5,"Then add tomatoes, turmeric powder, coriander cumin powder, red chilli powder and cook till the tomatoes turn mushy",,,,,,,,
6,Add jaggery and tamarind paste.  Add cooked dal to this tempering,,,,,,,,
7,Add 4 cups of water and adjust the dal consistency as required. Add garam masala and aachar masala. ,,,,,,,,
8,Boil it for sometime and garnish it with chopped cilantro,,,,,,,,
,,,,,,,,,
Recipe,Potato Dry Subzi,,,,,,,,
Ingredients,,,,,,,,,
,Potato,1,kg,,,,,,
,Ginger,75,g,,,,,,
,Green Chillies,7,g,,,,,,
,Cilantro,0.5,bunches,,,,,,
,Curry Leaves,0.25,packets,,,,,,
,Sunflower Oil,4,tbsp,,,,,,
,Jeera,2,tsp,,,,,,
,Mustard Seeds,2,tsp,,,,,,
,Hing,1,tsp,,,,,,
,Lemon Juice Concentrate,1,tbsp,,,,,,
,Salt,To Taste,,,,,,,
,,,,,,,,,
Steps to Prepare,,,,,,,,,
1,Boil the potatoes.  Once cooked and cooled remove the skin.  Cut into 1 inch square pieces (not very small),,,,,,,,
2,"Finely chop (or run through food processor) ginger, green chillies and curry leaves",,,,,,,,
3,"Heat up oil in a pot.  Once hot add mustard seeds and let them splutter.  Add cumin seeds, hing, turmeric.  ",,,,,,,,
4,"Add ginger, green chillies, curry leaves, and about 25% of the chopped cilantro.  Add salt to taste.  Saute for a minute or so",,,,,,,,
5,Add the potatoes and mix properly.   Lower the flame to medium low ,,,,,,,,
6,Saute it for 7-10 minutes until the potatoes start to get browned at the bottom of the pot,,,,,,,,
7,Add lemon juice and mix.  Garnish with cilantro and serve,,,,,,,,
,,,,,,,,,
Recipe,Cabbage Sambharo (Salad),,,,,,,,
Ingredients,,,,,,,,,
,Cabbage,600,g,,,,,,
,Carrots,100,g,,,,,,
,Green bell pepper,100,g,,,,,,
,Lemon juice concentrate,2,tbsp,,,,,,
,Mustard seeds,1,tsp,,,,,,
,Hing,0.25,g,,,,,,
,Curry Leaves,0.5,packets,,,,,,
,Cilantro,1,bunches,,,,,,
,Tomatoes,200,g,,,,,,
,Turmeric Powder,1,tsp,,,,,,
,Coriander powder,1,tsp,,,,,,
,Garam Masala,1,tsp,,,,,,
,Sugar,1,tsp,,,,,,
,Green chillies,6,g,,,,,,
,Green Grapes,75,g,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Steps to Prepare,,,,,,,,,
1,"Shred the cabbage into thin, long pieces,Add salt and let it sit to remove excess water. Squeeze out the water and set aside.",,,,,,,,
2,Finely chop the cilantro,,,,,,,,
3,Thinly slice the carrot and bell pepper.,,,,,,,,
4,Cube the tomatoes.,,,,,,,,
4,Cut green chilies into 1-inch pieces.,,,,,,,,
5,"Heat up oil in a pan. Once hot add mustard seeds, hing, green chillies and curry leaves , then add tomatoes carrot and bell Pepper. ",,,,,,,,
,"Cook until half done, Then add all the spices ( turmeric, coriander power, garam masala, Lemon juice and sugar)",,,,,,,,
6,Turn off the heat and mix the cooked mixture with the shredded cabbage.,,,,,,,,
7,Adjust salt and lemon juice based on taste,,,,,,,,
8,Garnish with chopped cilantro and Green grapes,,,,,,,,
,,,,,,,,,
Recipe,Radish Salad,,,,,,,,
Ingredients,,,,,,,,,
,,,,,,,,,
,Radish,500,g,,,,,,
,Lemon Juice Concentrate,6,tsp,,,,,,
,Salt,To Taste,,,,,,,
,Cilantro,0.5,bunches,,,,,,
,,,,,,,,,
,,,,,,,,,
Steps to Prepare,,,,,,,,,
1,Discard the top and bottom tip of the radishes and wash well,,,,,,,,
2,Peel their skins and grate them through a food processor (thicker shred),,,,,,,,
3,"Mix the grated radishes with salt, lime juice, and cilantro.  Serve",,,,,,,,
,,,,,,,,,
Recipe,Mix Veg Sambar,,,,,,,,
Ingredients,,,,,,,,,
,Toor dal,1.75,cup,,,,,,
,Tamarind,25,g,,,,,,
,Sambar powder,3,tbsp,,,,,,
,Turmeric powder,1,tsp,,,,,,
,Cilantro,0.5,bunches,,,,,,
,Drumstick,150,g,,,,,,
,Tomatoes,50,g,,,,,,
,Onion,150,g,,,,,,
,Green Bell Pepper,150,g,,,,,,
,Winter Melon,100,g,,,,,,
,Sesame (Gingelly) Oil,2,tbsp,,,,,,
,Methi seeds,0.5,tsp,,,,,,
,Mustard seeds,1,tsp,,,,,,
,Jeera,1,tsp,,,,,,
,Hing,0.25,tsp,,,,,,
,Red Chillies,5,g,,,,,,
,Curry leaves,0.5,packets,,,,,,
,,,,,,,,,
Steps to Prepare,,,,,,,,,
1,Rinse the toor dal 2-3 times in water and soak it with 3x water and some hing and a few drops of oil for 1-2 hours,,,,,,,,
2,Pressure cook it:  once the pot is at full pressure reduce the heat and let it cookfor 15 minutes,,,,,,,,
3,Switch off the flame and let the pressure drop naturally,,,,,,,,
4,"Once the pressure drops, open the lid and whisk the cooked dal together until its smooth",,,,,,,,
5,"Dice the onions, bell pepper, chayote into 2 inch cubes.  Chop the tomatoes into bite sized pieces. Slightly peel and chop drumsticks into 2 inch pieces. ",,,,,,,,
6,Soak the tamarind in hot water for an hour.  Squeeze it with your hands and remove the pulp and set aside,,,,,,,,
7,"Heat oil and add mustard. When it splutters, add urad dhal, methi, jeera, hing. Then add red chillies and curry leaves",,,,,,,,
8,Add diced onions and fry until translucent. Add the tomatoes and fry until cooked. ,,,,,,,,
9,"Add the veg with water, tumeric powder and salt. Keep it covered at medium flame",,,,,,,,
10,"When it is half-cooked, add tamarind and half of sambar powder.",,,,,,,,
11,"Once the veg are soft, add the dhal, remaining sambar powder and salt. ",,,,,,,,
12,"When it starts boiling, reduce heat and cover for 5 mins",,,,,,,,
13,Garnish with some fresh tempering and cilantro,,,,,,,,
,,,,,,,,,
Recipe,Long Beans Thoran,,,,,,,,
Ingredients,,,,,,,,,
,Long beans,1000,g,,,,,,
,Frozen Coconut,100,g,,,,,,
,Mustard Seeds,1.5,tsp,,,,,,
,Urad dal,2,tsp,,,,,,
,Coconut oil,2,tbsp,,,,,,
,Jeera,2,tsp,,,,,,
,Red chillies,10,g,,,,,,
,Hing,0.5,tsp,,,,,,
,Curry leaves,0.25,packets,,,,,,
,Salt,to taste,,,,,,,
,,,,,,,,,
Steps to prepare,,,,,,,,,
1,Rinse and dry the beans. Trim the ends off and cut into 1 inch pieces,,,,,,,,
2,"Tempering: Heat oil, add mustard seeds and when it splutters, add urad dhal, jeera, hing, dry red chillies and curry leaves",,,,,,,,
3,Add the beans to the pan and salt. Mix well and reduce heat to low. ,,,,,,,,
4,Then cover with a lid and cook on low heat for 15-20 mins until beans is cooked. Add little water if necessary to cook the beans. Stir well.,,,,,,,,
5,Add thawed frozen coconut and mix well.  ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
