3,Whisk yogurt and keep it on the side for people to help themselves.  Add a little salt and jeera powder to the yogurt.,,
,,,
Recipe,Pink Paradise:  Overnight Oats,,,
Ingredients,,,
,,,
,Rolled Oats,2,cup
,Almonds,100,g
,Water,4,cup
,Strawberries,150,g
,Chia seeds,15,g
,Maple syrup,4,tbs
,Served alongside:,,
,Blueberries,200,g
,Maple Syrup,25,ml
,Cashews,50,g
,,,
,Steps to Prepare,,
,1,"Blend water, almonds and chia seeds together to a smooth milky consistency",
,2,Add strawberries and blend pulse the mixture is pink.  Its okay to have a few pieces of unblended strawberry to add to the texture,
,3,Mix the blended mixture with the maple syrup. Add to the oats and give it a good mix,
,4,The liquid should be about about twice the volume as the oats.  Refrigerate overnight,
,5,in the morning the oats should have soaked the liquid and you should have a porridge consistency,
,6,"Serve with a side of cashews, blueberries and maple syrup",
Recipe,Black chana curry,,,
Ingredients,,,
,To boil chickpeas,,
,Black Chana,400,g
,Onion,100,g
,Garlic,5,g
,Ginger,5,g
,Green chillies,3,g
,Tomatoes,250,g
,Turmeric powder,1,tsp
,Red Chilly Powder,2,tsp
,Jeera powder,2,tsp
,Coriander powder,2,tsp
,Water,,
,Ghee,2,tbs
,Hing,0.25,tsp
,Garam Masala,1,tsp
,Kasuri Methi,2,tsp
,Cilantro,0.5,bunches
,,,
,,,
Steps to Prepare,,,
1,Wash & soak the chane in water overnight.,,
2,"For the prep, add onion, garlic, ginger & green chilli in a chopper & chop it roughly, you don’t have to make it extremely fine, transfer the onion mixture into a bowl & chop the tomatoes similarly.",,
3,Discard the water from soaked chane & add them into a pressure cooker and cook it so that they are soft and not mushy.,,
4,"Heat oil, once add the onion, garlic, ginger, green chilli chopped and saute for a bit.  Add tomato and saute until the oil starts to separate.  ",,
5,"Add turmeric, coriander and jeera powder, garam masala, red chilli powder salt and let it cook well",,
6,Add the boiled black chana along with any reserve water,,
7,Let the mixture cook and blend well. Add reserved water to desired consistency.,,
8,Gravy should be thin for this recipe but you can adjust it according to your preference.,,
9,Garnish with finely chopped cilantro,,
,,,
,,,
Recipe,Cucumber Tomato Onion Raita,,,
Ingredients,,,
,,,
,Cucumber,250,g
,Tomatoes,250,g
,Onion,50,g
,Cilantro,0.2,bunches
,Jeera Powder,1,tsp
,Salt,to taste,
,Yogurt,2,cup
,,,
,,,
,,,
Steps to Prepare,,,
1,"Finely chop onion and cilantro.  Cut tomato, and cucumber in small cubes.",,
2,"Mix all the ingredients above, add salt and jeera powder",,
3,Whisk yogurt and keep it on the side for people to help themselves.  Add a little salt and jeera powder to the yogurt.,,
,,,
,,,
,,,
,,,
,,,
Recipe,Aloo Gobi Mutter Sabzi,,,
Ingredients,,,
,Cauliflower,0.75,kg
,Potato,400,g
,Tomatoes,150,g
,Peas,1,cup
,Green Chillies,5,g
,Ginger,15,g
,Garlic,10,g
,Cilantro,0.5,bunches
,Lemon juice concentrate,2,tsp
,Sunflower Oil,75,ml
,Jeera,2,tsp
,Salt,To taste,
,Spices mixed with a little bit of water:,,
,Turmeric Powder,2,tsp
,Red chilly powder,2,tsp
,Hing,0.5,tsp
,Jeera Powder,2,tsp
,Coriander powder,4,tbs
,,,
Steps to Prepare,,,
1,"For Masala Mixture:  In a bowl add water, turmeric powder, red chill powder, hing, jeera powder and mix everything properly then keep aside for further use",,
2,"In a pot heat oil.  Add cumin seeds, ginger, green chillies, garlic and saute for a few seconds then add the prepared masala mixture",,
3,"Saute until the oil starts separating. Add tomato and saute until cooked.  Then add cauliflower, potatoes, salt, water and mix everything properly.",,
4,Then cover and cook on low heat for 10-12 minutes.,,
5,Remove the lid and stir in the chopped coriander leaves. Switch off the flames then cover and keep aside for 2-3 minutes.,,
6,Then garnish with chopped cilantro and serve ,,
,,,
,,,
