,Curry Leaves,0.5,packets
,Cilantro,1,bunches
,Ginger,10,g
,Green chillies,1,g
,,,
,,,
Steps to Prepare,,,
1,Shred the cabbage into thin long pieces.  Thaw the coconut to room temperature.  Finely chop the cilantro,,
2,Mix together cabbage, onion, coconut, cilantro, lemon juice, salt and pepper,,
3,Cut green chilies about 1 inch in size,,
4,Heat up coconut oil in a pan.  Once hot add mustard seeds, jeera, hing, ginger, chillies and curry leaves and add the tempering to the salad,,
5,Mix it all up.  Garnish with some cilantro before serving,,
6,Adjust salt and lemon juice based on taste,,
,,,
Recipe,Avial,,
Ingredients,,,
,,,
,Long beans,200,g
,Drumstick,200,g
,Plantain,200,g
,Winter Melon,200,g
,Potato,200,g
,Suran,200,g
,Frozen coconut,120,g
,Jeera,2.5,tsp
,Green chillies,5,g
,Water ,as needed,
,Coconut Oil,3,tbs
,Mustard seeds,1,tsp
,Hing,0.3,tsp
,Curry leaves,0.25,packets
,Yogurt,2,tbs
,,,
Steps to Prepare,,,
1,Peel and cut Veggies into 1.5 length and 1/2 thick,,
2,Keep cut plantain, eggplant in a bowl with water so that it doesn't change color,,
3,Beat the yougurt and keep aside,,
4,Half cook the vegetables that take longer to cook first like carrots.,,
5,Then add rest of the veggies that cook faster. If drumstick is frozen, add it at the end when all veggies are 90% cooked,,
6,Grind thawed coconut, green chillies and jeera into a coarse paste,,
7,Add the ground mixture to the almost cooked veggies and let it cook for 3-5 mins.,,
8,Once the mixture is cooked, allow it to cool and then add the yogurt and mix well. ,,
9,Heat coconut oil and add mustard seeds, curry leaves, hing and add it to the avial,,
10,Garnish with a bit of fresh coconut oil to enhance flavor,,
11,For vegans:  separate some quantity aside before mixing yogurt.  Add lemon juice and mix,,
,,,
,,,
,,,
,,,
Recipe,Mung Dal Payasam,,
Ingredients,,,
,Mung dal,1.3,cup
,Water,5.85,cup
,Coconut oil,4,tsp
,Jaggery,1.43,cup
,Coconut milk,0.52,cans
,Dry Coconut Slices,0.2,cup
,Cardamom,3,tsp
,Cashews,40,g
,Raisins,40,g
,,,
Steps to Prepare,,,
1,Roast moong dal (unwashed) until it is aromatic.  Wash the moong dal, add the water and let it cook until it turns soft.  Add water if needed as it cooks,,
2,In another pot take the jaggery and add a bit of water and stir until jaggery dissolves completely,,
3,Add the cooked mung dal to the jaggery mixture, mix well and simmer for 3-5 minutes,,
4,Heat some coconut oil and on low flame and saute the cashews until golden brown.  Then saute the coconut slices.  Finally saute the raisins until they puff up,,
5,Add coconut milk to the mung dal and jaggery mixture and adjust consistency as needed with water,,
6,Turn off the flame and add cardamom powder and mix.  Add roasted coconut, raisins and cashews and serve,,
